geneID	type	name
AT3G11930	Bundle_sheath	AT3G11930
AT4G13770	Bundle_sheath	CYP83A1
AT4G08290	Bundle_sheath;Phloem_parenchyma	UMAMIT20
AT5G62340	Columella_root_cap	AT5G62340
AT1G50060	Columella_root_cap	AT1G50060
AT2G04025	Columella_root_cap	RGF3
AT2G16740	Companion_cell	UBC29
AT5G04080	Companion_cell;Phloem	AT5G04080
AT5G57350	Companion_cell	HA3
AT5G07530	Contaminating_nuclei	GRP17
AT5G07550	Contaminating_nuclei	GRP19
AT3G15400	Contaminating_nuclei	ATA20
AT5G03150	Cortex	JKD
AT1G21310	Cortex	EXT3
AT5G44630	Cortex	AT5G44630
AT5G36907	Explant_vasculature_and_callus_founder_cell	AT5G36907
AT2G02100	Explant_vasculature_and_callus_founder_cell	LCR69
AT2G02120	Explant_vasculature_and_callus_founder_cell	PDF2.1
AT5G10510	Flower_meristem	AIL6
AT1G19850	Flower_meristem	MP
AT5G64910	Flower_meristem	AT5G64910
AT3G54960	G1/G0_phase	PDIL1-3
AT3G16460	G1/G0_phase	JAL34
AT1G28290	G1/G0_phase	AGP31
AT2G25060	G2/M_phase	ENODL14
AT1G08560	G2/M_phase;Meristematic_cell	SYP111
AT4G23800	G2/M_phase	3xHMG-box2
AT1G79800	Generative_nuclei	ENODL7
AT2G35950	Generative_nuclei	EDA12
AT1G75050	Generative_nuclei	AT1G75050
AT5G26000	Guard_cell	TGG1
AT1G04800	Guard_cell;Leaf_guard_cell	AT1G04800
AT1G22690	Guard_cell	AT1G22690
AT1G22900	Hydathodes	AT1G22900
AT2G19990	Hydathodes	PR-1-LIKE
AT3G10120	Hydathodes	AT3G10120
AT1G07820	Inner_cell_layer	AT1G07820
AT4G33930	Inner_cell_layer	AT4G33930
AT5G17760	Inner_cell_layer	AT5G17760
AT1G52050	Lateral_root_cap	AT1G52050
AT1G06090	Lateral_root_cap	AT1G06090
AT5G55110	Lateral_root_cap	AT5G55110
AT1G64220	Lateral_root_primordia	TOM7-2
AT3G23830	Lateral_root_primordia	GRP4
AT4G25630	Lateral_root_primordia	FIB2
AT1G09310	Leaf_epidermis;Leaf_pavement_cell	AT1G09310
AT2G38540	Leaf_epidermis;Leaf_pavement_cell;Outer_cell_layer;Shoot_system_epidermis	LP1
AT4G23670	Leaf_epidermis;Shoot_system_epidermis	AT4G23670
AT1G16960	Leaf_guard_cell	AT1G16960
AT3G24140	Leaf_guard_cell	FMA
AT5G25610	Leaf_pavement_cell	RD22
AT3G12870	Meristematic_cell	AT3G12870
AT3G02640	Meristematic_cell	AT3G02640
AT1G12090	Mesophyll	ELP
AT3G14210	Mesophyll	ESM1
AT1G10640	Mesophyll	AT1G10640
AT4G35350	Metaxylem;Xylem	XCP1
AT1G20850	Metaxylem	XCP2
AT5G51890	Metaxylem;Xylem	AT5G51890
AT4G34060	Microspore_nuclei	DML3
AT5G59810	Microspore_nuclei	SBT5.4
AT2G28680	Microspore_nuclei	AT2G28680
AT4G12545	Non-hair;Root_epidermis	AT4G12545
AT3G29250	Non-hair	SDR4
AT1G65310	Non-hair	XTH17
AT5G59320	Outer_cell_layer	LTP3
AT2G05520	Outer_cell_layer	GRP-3
AT1G19150	Palisade_mesophyll	Lhca6
AT2G42220	Palisade_mesophyll	AT2G42220
AT5G20630	Palisade_mesophyll	GER3
AT1G31050	Pericycle	AT1G31050
AT4G34600	Pericycle	AT4G34600
AT3G62040	Pericycle	AT3G62040
AT1G79430	Phloem	APL
AT2G39850	Phloem	AT2G39850
AT5G23660	Phloem_parenchyma	SWEET12
AT3G48740	Phloem_parenchyma	SWEET11
AT1G26450	Phloem_pole_pericycle	AT1G26450
AT2G02130	Phloem_pole_pericycle;Vascular_tissue	LCR68
AT2G31083	Phloem_pole_pericycle	CLE5
AT4G30450	Phloem/Pericycle	AT4G30450
AT3G53980	Phloem/Pericycle;Xylem_pole_pericycle	AT3G53980
AT2G36120	Phloem/Pericycle;Protoxylem;Xylem_pole_pericycle	DOT1
AT1G08283	Protoxylem	NA
AT5G60490	Protoxylem	FLA12
AT2G43610	Root_cap	AT2G43610
AT3G16450	Root_cap	JAL33
AT1G54010	Root_cap	AT1G54010
AT5G13930	Root_cortex	TT4
AT5G08640	Root_cortex	FLS1
AT3G51240	Root_cortex	F3H
AT3G22620	Root_endodermis	AT3G22620
AT3G32980	Root_endodermis	AT3G32980
AT2G36100	Root_endodermis	CASP1
AT3G01190	Root_epidermis	AT3G01190
AT1G04040	Root_epidermis	AT1G04040
AT3G54580	Root_hair	AT3G54580
